Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine,Power,Seats,Price,Brand,Model,Age,Mileage(kmpl)
Pune,20248,Diesel,Manual,First,1248.0,73.9,5.0,4.35,Maruti,Ritz,7,21.1
Coimbatore,52383,Diesel,Manual,First,1582.0,126.2,5.0,14.82,Hyundai,Creta,3,19.67
Delhi,1000,Diesel,Automatic,First,1999.0,177.0,5.0,40.0,Jaguar,XE,2,13.6
Chennai,85000,Diesel,Manual,First,2489.0,93.7,7.0,6.15,Mahindra,Xylo,4,14.95
Ahmedabad,47000,Diesel,Manual,First,2494.0,100.6,7.0,11.25,Toyota,Innova,6,12.99
Pune,17585,Petrol,Automatic,First,2494.0,157.7,5.0,32.0,Toyota,Camry,2,19.16
Coimbatore,32496,Diesel,Automatic,First,2967.0,,5.0,45.62,Audi,Q5,2,13.22
Kochi,34613,Diesel,Manual,First,1248.0,74.0,5.0,6.24,Maruti,Swift,3,28.4
Chennai,153000,Diesel,Manual,First,1248.0,88.76,7.0,4.8,Maruti,Ertiga,5,20.77
Chennai,54000,Petrol,Manual,Second,1197.0,85.0,5.0,4.5,Maruti,Swift,6,16.1
Kochi,16900,Petrol,Manual,First,1197.0,78.9,5.0,3.87,Hyundai,i10,5,20.36
Delhi,62334,Petrol,Manual,First,1197.0,78.9,5.0,2.75,Hyundai,i10,7,20.36
Kochi,23714,Petrol,Manual,First,1197.0,83.1,5.0,6.57,Maruti,Baleno,2,21.4
Jaipur,52325,Petrol,Manual,First,1495.0,93.7,5.0,2.0,Hyundai,Accent,10,16.36
Ahmedabad,50000,Petrol,Manual,First,1198.0,86.8,5.0,3.65,Honda,Brio,8,19.4
Hyderabad,55746,Diesel,Manual,First,1248.0,74.0,5.0,6.95,Maruti,Swift,4,22.9
Bangalore,54000,Petrol,Manual,First,1197.0,81.86,5.0,5.5,Hyundai,Xcent,6,20.14
Kolkata,43000,Diesel,Manual,First,2179.0,140.0,7.0,7.0,Mahindra,XUV500,7,16.0
Delhi,40000,Diesel,Automatic,First,2143.0,201.1,5.0,24.0,Mercedes-Benz,E-Class,6,13.0
Bangalore,125000,Diesel,Automatic,Second,2179.0,115.0,5.0,11.0,Land,Rover,10,
Bangalore,51944,Diesel,Automatic,First,2143.0,170.0,5.0,32.5,Mercedes-Benz,New,4,19.27
Kochi,46950,Diesel,Manual,First,1396.0,88.76,5.0,6.45,Hyundai,i20,5,21.27
Mumbai,23000,Diesel,Automatic,First,1968.0,141.0,5.0,15.75,Skoda,Octavia,5,19.3
Mumbai,54546,Petrol,Manual,First,1497.0,118.0,5.0,5.5,Honda,City,6,17.0
Kochi,51535,Diesel,Automatic,First,2982.0,168.5,7.0,19.03,Toyota,Fortuner,5,12.55
Kolkata,45000,Diesel,Automatic,First,1968.0,184.0,5.0,15.25,Audi,Q3,7,17.32
Hyderabad,46004,Petrol,Manual,First,998.0,67.1,5.0,2.4,Maruti,Alto,8,20.92
Chennai,124000,Diesel,Manual,First,1396.0,69.0,5.0,2.3,Tata,Indigo,9,23.03
Kochi,77395,Diesel,Automatic,First,1968.0,174.33,5.0,14.35,Audi,A4,6,17.11
Mumbai,10600,CNG,Manual,First,796.0,40.3,4.0,3.5,Maruti,Alto,2,
Kochi,22974,Petrol,Automatic,First,1497.0,117.3,5.0,11.97,Honda,City,2,18.0
Jaipur,89000,Petrol,Manual,Second,999.0,,5.0,1.6,Hyundai,Santro,11,
Ahmedabad,65012,Diesel,Manual,First,2755.0,174.5,7.0,18.9,Toyota,Fortuner,5,14.24
Ahmedabad,17125,Petrol,Manual,First,1197.0,82.0,5.0,5.4,Hyundai,Grand,3,18.9
Hyderabad,90413,Petrol,Manual,First,1196.0,73.0,7.0,2.95,Maruti,Eeco,5,15.1
Bangalore,37000,Petrol,Manual,First,1198.0,73.9,5.0,5.1,Volkswagen,Polo,7,16.47
Jaipur,65000,Petrol,Manual,First,1061.0,67.0,5.0,1.5,Maruti,Wagon,14,18.9
Bangalore,66000,Petrol,Manual,First,1497.0,118.0,5.0,4.9,Honda,City,9,17.0
Mumbai,86000,Petrol,Manual,First,1799.0,130.2,5.0,2.9,Honda,Civic,10,14.8
Pune,98437,Petrol,Manual,First,1493.0,100.0,5.0,1.15,Honda,City,15,13.0
Kolkata,18000,Petrol,Manual,First,1197.0,80.0,5.0,2.3,Hyundai,i20,10,18.5
Kochi,35070,Diesel,Manual,First,1120.0,70.0,5.0,5.99,Hyundai,Grand,2,24.0
Pune,42000,Petrol,Automatic,Third,1598.0,103.6,5.0,3.4,Volkswagen,Vento,9,14.4
Kolkata,40000,Petrol,Manual,First,1197.0,78.9,5.0,1.7,Hyundai,i10,11,20.36
Kolkata,43000,Petrol,Manual,First,1197.0,80.0,5.0,1.99,Hyundai,i20,11,17.0
Pune,65000,Petrol,Manual,First,1199.0,79.4,5.0,2.5,Chevrolet,Beat,8,18.6
Hyderabad,74000,Diesel,Manual,First,1199.0,73.9,5.0,4.85,Volkswagen,Polo,7,22.07
Hyderabad,51192,Petrol,Manual,First,1196.0,70.0,5.0,2.65,Ford,Figo,10,15.6
Kochi,14262,Petrol,Automatic,First,1984.0,207.8,2.0,27.35,Audi,TT,6,9.9
Jaipur,66339,Diesel,Manual,Second,1498.0,98.6,5.0,6.9,Honda,City,5,25.1
Hyderabad,90200,Diesel,Manual,First,1399.0,68.05,5.0,3.5,Ford,Figo,7,20.0
Delhi,57854,Diesel,Manual,First,2494.0,100.6,7.0,12.5,Toyota,Innova,5,12.99
Delhi,32000,Petrol,Automatic,First,1373.0,91.1,5.0,9.2,Maruti,Ciaz,3,19.12
Mumbai,29631,Petrol,Automatic,First,1197.0,82.0,5.0,4.9,Hyundai,Grand,5,18.9
Delhi,55005,Petrol,Manual,First,,,,3.2,Honda,City,11,12.8
Kochi,54173,Petrol,Manual,First,999.0,123.24,5.0,5.55,Ford,EcoSport,6,18.88
Ahmedabad,50000,Petrol,Automatic,First,1798.0,177.6,5.0,13.5,Skoda,Octavia,6,14.7
Kolkata,145000,Diesel,Manual,First,1248.0,91.7,5.0,2.6,Fiat,Linea,10,20.4
Jaipur,78000,Petrol,Manual,First,1298.0,88.2,5.0,4.5,Maruti,Swift,5,16.1
Delhi,65000,Diesel,Automatic,Second,2993.0,180.0,7.0,34.0,Land,Rover,7,11.8
Hyderabad,120000,Diesel,Manual,First,2494.0,102.0,7.0,12.0,Toyota,Innova,8,12.8
Mumbai,14000,Diesel,Manual,First,1248.0,74.0,5.0,5.25,Maruti,Swift,5,28.4
Kochi,57456,Diesel,Automatic,First,1968.0,174.33,5.0,21.56,Audi,A6,6,17.68
Coimbatore,44450,Diesel,Automatic,First,1995.0,190.0,5.0,24.68,BMW,5,8,22.48
Delhi,63777,Petrol,Manual,First,1197.0,82.9,5.0,3.67,Hyundai,i20,7,18.5
Mumbai,31000,Diesel,Automatic,First,1995.0,190.0,5.0,29.5,BMW,X1,4,17.05
Delhi,60000,Petrol,Manual,First,1496.0,88.73,5.0,3.1,Toyota,Etios,8,17.6
Ahmedabad,78008,Diesel,Manual,First,1405.0,70.0,5.0,2.9,Tata,Indigo,5,17.0
Bangalore,33000,Diesel,Automatic,Second,2987.0,165.0,5.0,43.0,Mercedes-Benz,M-Class,6,
Mumbai,27078,Petrol,Automatic,First,1984.0,114.4,4.0,15.95,Volkswagen,Beetle,11,10.98
Hyderabad,57275,Diesel,Manual,First,1598.0,103.6,5.0,4.5,Volkswagen,Polo,9,19.7
Delhi,45000,Diesel,Manual,First,1120.0,70.0,5.0,3.49,Hyundai,Grand,6,24.0
Delhi,57319,Diesel,Manual,First,1248.0,74.0,5.0,4.25,Maruti,Swift,6,25.2
Chennai,121097,Diesel,Manual,Second,1396.0,88.76,5.0,1.9,Hyundai,Verna,12,24.0
Mumbai,89000,Diesel,Automatic,First,1995.0,218.0,5.0,16.57,BMW,5,9,16.73
Bangalore,72000,Petrol,Manual,First,1497.0,118.0,5.0,5.75,Honda,City,8,17.0
Delhi,36000,Diesel,Automatic,Second,1968.0,147.51,5.0,14.0,Audi,A4,7,16.55
Jaipur,86000,Diesel,Manual,Second,1248.0,75.0,5.0,2.5,Fiat,Linea,7,19.5
Ahmedabad,85000,Petrol,Manual,First,1343.0,90.0,5.0,1.2,Honda,City,18,13.0
Pune,120000,Petrol,Manual,Second,1242.0,,5.0,0.85,Fiat,Petra,15,15.5
Kochi,37613,Diesel,Automatic,First,1995.0,190.0,5.0,13.95,BMW,3,7,22.69
Chennai,100000,Petrol,Manual,First,1388.0,68.0,5.0,1.6,Ford,Fiesta,13,16.6
Coimbatore,5240,Petrol,Automatic,First,624.0,37.48,4.0,3.6,Tata,Nano,4,21.9
Mumbai,20000,CNG,Manual,First,1196.0,73.0,5.0,4.5,Maruti,Eeco,2,21.139999999999997
Coimbatore,16862,Petrol,Manual,First,1197.0,81.8,5.0,6.06,Maruti,Ignis,1,20.89
Coimbatore,59254,Petrol,Manual,Second,1298.0,85.8,5.0,5.29,Maruti,Swift,7,17.5
Jaipur,60000,Diesel,Manual,First,1498.0,89.84,5.0,5.75,Ford,Ecosport,6,22.7
Hyderabad,50295,Petrol,Manual,First,,,,5.8,Maruti,Swift,5,16.1
Coimbatore,47674,Petrol,Manual,First,1197.0,85.8,5.0,5.72,Maruti,Swift,6,19.1
Kochi,61517,Petrol,Automatic,First,1197.0,78.9,5.0,4.39,Hyundai,i10,6,16.95
Coimbatore,62946,Diesel,Manual,First,2179.0,140.0,7.0,11.05,Mahindra,XUV500,4,15.1
Delhi,66823,Diesel,Manual,Second,1396.0,88.73,5.0,4.83,Hyundai,i20,5,22.54
Pune,79494,CNG,Manual,First,998.0,67.04,5.0,2.96,Maruti,Wagon,7,
Chennai,107000,Diesel,Manual,Second,1396.0,88.76,5.0,4.5,Hyundai,i20,8,21.27
Mumbai,55000,Diesel,Automatic,Second,2993.0,,5.0,19.5,BMW,7,9,16.46
Mumbai,24000,Petrol,Automatic,First,1598.0,103.52,5.0,8.75,Skoda,Rapid,3,14.3
Mumbai,20002,Diesel,Automatic,First,2967.0,,7.0,67.0,Audi,Q7,4,14.75
Kochi,54317,Petrol,Manual,First,1497.0,117.3,5.0,8.4,Honda,City,4,17.4
Mumbai,10200,Petrol,Manual,First,1197.0,82.0,5.0,4.99,Hyundai,Xcent,4,19.1
Coimbatore,24337,Diesel,Manual,First,1498.0,98.6,5.0,8.18,Honda,City,4,26.0
Pune,79000,Petrol,Manual,First,1198.0,86.8,5.0,2.9,Honda,Brio,8,18.4
Jaipur,40500,Diesel,Manual,First,1248.0,88.5,5.0,7.1,Maruti,Ciaz,5,28.09
Pune,23000,Diesel,Manual,First,1248.0,74.0,5.0,7.05,Maruti,Swift,4,26.59
Pune,63050,Petrol,Automatic,First,2354.0,158.8,5.0,17.5,Honda,CR-V,5,11.1
Mumbai,78000,Petrol,Automatic,Second,1794.0,138.1,5.0,3.41,Toyota,Corolla,12,14.53
Pune,70000,Petrol,Manual,First,1590.0,,5.0,1.3,Maruti,Baleno,15,
Coimbatore,66245,Petrol,Manual,First,1497.0,118.0,5.0,5.68,Honda,City,8,17.0
Bangalore,74112,Diesel,Manual,First,2179.0,120.0,9.0,4.1,Mahindra,Scorpio,13,12.05
Delhi,87670,Petrol,Manual,First,1798.0,157.8,5.0,4.0,Skoda,Laura,9,13.4
Hyderabad,10000,Diesel,Automatic,First,1995.0,184.0,5.0,30.0,BMW,3,5,18.88
Chennai,62493,Petrol,Manual,First,1586.0,104.68,5.0,1.8,Maruti,SX4,13,15.0
Kochi,44620,Petrol,Manual,First,1373.0,91.1,5.0,6.93,Maruti,Ciaz,5,20.73
Bangalore,66538,Diesel,Automatic,First,,,7.0,70.0,Land,Rover,8,10.2
Ahmedabad,60000,Diesel,Manual,First,2494.0,100.0,7.0,7.9,Toyota,Innova,7,12.99
Kochi,20842,Petrol,Manual,First,1086.0,62.0,5.0,2.78,Hyundai,Santro,9,
Chennai,110000,Diesel,Automatic,First,2199.0,194.3,7.0,14.4,Hyundai,Santa,6,13.01
Mumbai,45000,Petrol,Automatic,Second,1796.0,186.0,5.0,13.5,Mercedes-Benz,New,9,11.74
Mumbai,40000,CNG,Manual,Second,998.0,58.16,5.0,3.15,Maruti,Wagon,6,
Coimbatore,49008,Petrol,Manual,First,796.0,46.3,5.0,2.88,Maruti,Alto,8,19.7
Kolkata,31000,Petrol,Manual,First,796.0,47.3,5.0,2.15,Maruti,Alto,4,24.7
Pune,8000,Petrol,Manual,First,1498.0,97.7,5.0,3.75,Nissan,Sunny,7,16.95
Mumbai,171,Petrol,Manual,First,796.0,47.3,5.0,3.6,Maruti,Alto,1,24.7
Kolkata,2100,Petrol,Manual,First,998.0,67.1,5.0,3.6,Maruti,Alto,2,24.07
Coimbatore,20667,Petrol,Automatic,First,1197.0,81.86,5.0,7.55,Hyundai,Grand,2,18.9
Kolkata,50000,Diesel,Manual,First,1498.0,98.6,7.0,4.7,Honda,Mobilio,5,24.2
Jaipur,100030,Diesel,Manual,Second,1248.0,90.0,5.0,1.6,Tata,Manza,10,18.8
Pune,75372,Diesel,Manual,First,1991.0,123.7,5.0,3.34,Chevrolet,Optra,9,16.52
Kochi,60475,Petrol,Automatic,First,1497.0,117.3,5.0,9.1,Honda,City,4,18.0
Kochi,18453,Petrol,Manual,First,1197.0,81.86,5.0,6.17,Hyundai,Grand,1,18.9
Hyderabad,96578,Diesel,Manual,First,1582.0,126.2,5.0,2.5,Hyundai,Verna,12,22.0
Kolkata,31001,Petrol,Manual,First,1198.0,75.0,5.0,3.0,Nissan,Micra,4,18.44
Jaipur,65900,Diesel,Manual,First,1582.0,126.32,5.0,5.75,Hyundai,Verna,8,22.32
Bangalore,26246,Petrol,Manual,First,1591.0,121.3,5.0,10.75,Hyundai,Creta,3,15.29
Jaipur,62700,Petrol,Manual,Second,998.0,67.04,5.0,2.85,Maruti,Wagon,7,20.51
Chennai,90000,Petrol,Automatic,First,2354.0,180.0,5.0,6.5,Honda,Accord,12,10.2
Bangalore,36000,Petrol,Automatic,First,1497.0,118.0,5.0,9.45,Honda,City,4,16.8
Delhi,46000,Diesel,Manual,First,1248.0,74.0,5.0,6.75,Maruti,Baleno,4,27.39
Coimbatore,73003,Diesel,Manual,First,1498.0,98.6,5.0,7.75,Honda,City,3,26.0
Kochi,46566,Diesel,Manual,First,1396.0,88.76,5.0,4.4,Hyundai,i20,6,22.54
Jaipur,41493,Diesel,Automatic,First,2987.0,,5.0,42.0,Mercedes-Benz,E-Class,5,13.0
Kochi,103788,Diesel,Manual,First,1461.0,108.5,5.0,5.67,Nissan,Terrano,6,19.01
Bangalore,45000,Diesel,Automatic,First,1461.0,108.45,5.0,11.5,Renault,Duster,4,19.6
Pune,120000,Petrol,Manual,First,998.0,67.1,5.0,1.69,Maruti,Wagon,11,18.9
Jaipur,97359,Diesel,Manual,Second,1493.0,110.0,5.0,1.8,Hyundai,Getz,11,17.1
Mumbai,62000,Petrol,Manual,First,1197.0,85.8,5.0,3.2,Maruti,Ritz,4,18.5
Pune,115000,Petrol,Manual,Second,,,,1.5,Honda,City,16,
Kochi,18373,Diesel,Automatic,First,1995.0,187.74,5.0,45.86,BMW,5,1,22.48
Hyderabad,60453,Petrol,Manual,First,1198.0,74.0,5.0,5.1,Volkswagen,Polo,4,16.47
Pune,37000,Diesel,Manual,First,1248.0,,5.0,4.85,Maruti,Swift,7,17.8
Mumbai,69009,Petrol,Manual,Second,1196.0,70.0,5.0,2.4,Ford,Figo,10,15.6
Hyderabad,30000,Diesel,Automatic,First,1995.0,184.0,5.0,22.0,BMW,3,7,18.88
Delhi,70707,Diesel,Manual,First,1582.0,126.32,5.0,4.28,Hyundai,Verna,8,22.32
Coimbatore,64677,Diesel,Manual,First,1461.0,83.8,5.0,5.67,Renault,Duster,5,20.45
Bangalore,3000,Petrol,Automatic,First,1197.0,81.86,5.0,6.2,Hyundai,Grand,2,18.9
Bangalore,49000,Diesel,Automatic,Second,1995.0,184.0,5.0,14.49,BMW,X1,7,17.05
Pune,71000,Diesel,Manual,First,1248.0,73.9,5.0,3.0,Maruti,Ritz,10,21.1
Jaipur,52000,Petrol,Manual,Second,1086.0,68.05,5.0,2.25,Hyundai,i10,10,19.81
Kochi,35659,Diesel,Automatic,First,2993.0,,7.0,43.78,BMW,X5,4,15.97
Kochi,5377,Petrol,Manual,First,1497.0,116.3,5.0,11.45,Honda,City,1,16.8
Delhi,65000,Diesel,Automatic,First,2696.0,184.0,7.0,10.5,Mahindra,Ssangyong,6,11.18
Coimbatore,92708,Diesel,Manual,First,1498.0,89.84,5.0,7.48,Ford,Ecosport,5,22.7
Coimbatore,48105,Petrol,Manual,First,796.0,46.3,5.0,3.1,Maruti,Alto,10,19.7
Mumbai,46759,Petrol,Manual,First,1198.0,74.0,5.0,2.55,Volkswagen,Polo,9,16.47
Jaipur,62000,Diesel,Manual,First,1199.0,73.9,5.0,3.5,Volkswagen,Polo,7,22.07
Kolkata,35175,Diesel,Manual,First,1199.0,73.9,5.0,2.59,Volkswagen,Polo,8,22.07
Kolkata,70000,Diesel,Manual,First,1248.0,88.8,7.0,5.45,Maruti,Ertiga,7,20.77
Kolkata,30000,Diesel,Manual,First,1498.0,98.59,5.0,6.0,Ford,EcoSport,3,22.77
Kolkata,66618,Diesel,Automatic,First,2755.0,171.5,7.0,15.49,Toyota,Innova,4,11.36
Mumbai,69300,Petrol,Automatic,Second,2497.0,150.0,5.0,12.5,BMW,5,10,10.8
Kolkata,148000,Diesel,Manual,First,1248.0,74.0,5.0,4.75,Maruti,Swift,3,23.4
Mumbai,22000,Petrol,Manual,First,999.0,123.24,5.0,7.85,Ford,Ecosport,3,18.88
Ahmedabad,75000,Diesel,Manual,First,1493.0,110.0,5.0,6.0,Hyundai,Verna,7,16.8
Mumbai,43706,Petrol,Manual,First,1193.0,88.7,5.0,4.0,Tata,Zest,4,17.57
Mumbai,42000,Diesel,Automatic,First,2967.0,,5.0,28.75,Audi,A7,9,14.4
Pune,65000,Diesel,Manual,First,1248.0,74.0,5.0,2.5,Tata,Indica,8,22.3
Delhi,76128,Diesel,Manual,First,1248.0,74.0,5.0,5.5,Maruti,Swift,5,26.59
Kolkata,39852,Petrol,Manual,First,1368.0,90.0,5.0,1.59,Fiat,Linea,10,16.0
Mumbai,18673,Petrol,Manual,First,1197.0,81.83,5.0,6.22,Hyundai,i20,3,18.6
Kolkata,11583,Petrol,Manual,First,814.0,55.2,5.0,2.75,Hyundai,EON,4,21.1
Chennai,82000,Petrol,Manual,Second,1086.0,,5.0,1.35,Hyundai,Santro,13,
Pune,50000,Diesel,Automatic,First,2143.0,136.0,5.0,25.0,Mercedes-Benz,GLA,3,17.9
Delhi,77000,Petrol,Manual,First,998.0,67.04,5.0,2.8,Maruti,Celerio,6,23.1
Mumbai,54890,Petrol,Manual,Second,1199.0,76.8,5.0,2.45,Chevrolet,Beat,6,17.8
Pune,21000,Petrol,Automatic,First,1199.0,88.7,5.0,6.35,Honda,Jazz,4,19.0
Mumbai,58557,Diesel,Automatic,Third,1995.0,181.0,5.0,8.0,BMW,3,11,16.07
Bangalore,70000,Diesel,Manual,First,1461.0,108.45,5.0,8.25,Renault,Duster,6,19.01
Mumbai,16000,Petrol,Automatic,First,1499.0,110.4,5.0,5.95,Ford,Figo,3,17.01
Kochi,8899,Diesel,Manual,First,2393.0,147.8,7.0,19.92,Toyota,Innova,2,13.68
Kochi,83629,Diesel,Manual,First,936.0,56.3,5.0,3.15,Chevrolet,Beat,4,25.44
Chennai,35059,Petrol,Automatic,First,1798.0,189.0,4.0,5.75,Volkswagen,Polo,6,17.21
Kochi,30552,Diesel,Automatic,First,,197.2,7.0,32.44,Ford,Endeavour,2,10.91
Kochi,44875,Diesel,Automatic,Second,1582.0,126.32,5.0,8.01,Hyundai,Verna,4,22.32
Coimbatore,25095,Petrol,Manual,First,1196.0,86.8,5.0,6.48,Ford,Figo,3,18.16
Jaipur,59000,Petrol,Manual,First,796.0,37.0,4.0,0.75,Maruti,800,13,16.1
Kolkata,36000,Diesel,Manual,First,1498.0,98.6,5.0,5.0,Honda,City,6,26.0
Mumbai,37000,Diesel,Manual,First,2179.0,140.0,7.0,7.75,Mahindra,XUV500,8,16.0
Chennai,90000,Diesel,Manual,First,1399.0,68.0,5.0,2.6,Ford,Figo,10,20.0
Pune,17000,Petrol,Manual,First,1497.0,121.36,5.0,9.2,Ford,EcoSport,2,17.0
Mumbai,42575,Petrol,Manual,First,1197.0,81.83,5.0,5.05,Hyundai,i20,5,18.6
Hyderabad,131000,Diesel,Manual,First,2494.0,100.0,7.0,9.6,Toyota,Innova,8,12.99
Mumbai,74000,Diesel,Manual,First,1461.0,83.8,5.0,5.5,Renault,Duster,7,20.46
Mumbai,47234,Diesel,Manual,First,2494.0,100.6,8.0,9.35,Toyota,Innova,7,12.99
Delhi,231673,Petrol,Manual,First,1497.0,118.0,5.0,2.6,Honda,City,11,17.0
Hyderabad,10000,Petrol,Manual,First,998.0,67.1,5.0,3.5,Maruti,Alto,4,24.07
Kochi,49389,Petrol,Manual,First,1198.0,67.04,5.0,4.26,Nissan,Micra,4,19.49
Chennai,12000,Petrol,Automatic,Second,998.0,67.04,5.0,4.25,Maruti,Celerio,4,23.1
Hyderabad,65000,Petrol,Manual,Second,1796.0,178.0,5.0,11.75,Mercedes-Benz,New,10,11.7
Chennai,177000,Diesel,Manual,First,1498.0,88.7,5.0,3.5,Ford,Fiesta,7,23.5
Jaipur,89000,Petrol,Manual,First,1591.0,121.3,5.0,7.5,Hyundai,Verna,5,17.01
Chennai,72000,Petrol,Automatic,Third,1396.0,100.0,5.0,3.25,Hyundai,i20,11,15.0
Chennai,49000,Petrol,Manual,First,1298.0,85.8,5.0,4.9,Maruti,Swift,8,17.5
Hyderabad,51355,Diesel,Automatic,First,2143.0,170.0,5.0,27.0,Mercedes-Benz,New,6,14.84
Kochi,13460,Petrol,Manual,First,1197.0,81.86,5.0,8.91,Hyundai,Elite,3,18.6
Kochi,35642,Petrol,Automatic,First,1591.0,121.4,5.0,6.69,Hyundai,Verna,6,17.01
Kochi,52895,Diesel,Manual,First,1998.0,163.7,5.0,6.02,Chevrolet,Cruze,6,17.3
Mumbai,93000,Petrol,Manual,First,1798.0,138.03,5.0,4.5,Toyota,Corolla,10,14.28
Pune,70000,Petrol,Manual,First,998.0,66.1,5.0,2.0,Maruti,A-Star,9,19.0
Kolkata,32048,Diesel,Manual,First,1461.0,63.1,5.0,2.4,Nissan,Micra,8,23.08
Pune,4700,Petrol,Manual,First,624.0,37.48,4.0,1.2,Tata,Nano,7,25.4
Delhi,71800,Diesel,Manual,First,1248.0,74.0,5.0,2.9,Maruti,Swift,6,23.4
Coimbatore,69078,Petrol,Manual,First,,,,40.88,Land,Rover,12,
Ahmedabad,45000,Diesel,Automatic,First,1968.0,184.0,5.0,27.0,Audi,Q3,4,17.32
Chennai,15388,Diesel,Manual,First,1498.0,98.6,5.0,7.5,Honda,Amaze,4,25.8
Mumbai,98798,Petrol,Manual,First,1599.0,104.0,5.0,1.5,Chevrolet,Optra,16,14.7
Hyderabad,43000,Diesel,Automatic,First,1968.0,174.3,5.0,39.5,Audi,Q5,4,14.16
Hyderabad,85112,Diesel,Manual,First,1248.0,73.94,5.0,3.39,Maruti,Ritz,8,23.2
Kochi,37804,Diesel,Manual,First,2179.0,120.0,7.0,12.4,Mahindra,Scorpio,2,15.4
Chennai,45000,Diesel,Manual,First,1248.0,88.5,5.0,6.85,Maruti,Ciaz,6,28.09
Pune,116000,Diesel,Manual,Second,1364.0,138.0,5.0,5.75,Toyota,Corolla,9,21.43
Chennai,100073,Diesel,Manual,Second,1396.0,69.0,5.0,2.0,Tata,Indica,5,25.0
Jaipur,165000,Petrol,Manual,First,796.0,37.0,4.0,0.9,Maruti,800,14,16.1
Kolkata,22000,Petrol,Manual,First,1198.0,74.0,5.0,3.8,Volkswagen,Polo,5,16.47
Delhi,9500,Petrol,Automatic,First,1999.0,149.92,5.0,16.35,Hyundai,Elantra,3,14.62
Hyderabad,152000,Diesel,Automatic,First,2982.0,169.0,7.0,16.5,Toyota,Fortuner,8,11.5
Coimbatore,17705,Petrol,Manual,First,1197.0,83.1,5.0,8.7,Maruti,Baleno,1,21.4
Mumbai,12000,Petrol,Manual,First,1197.0,83.1,5.0,6.1,Maruti,Baleno,4,21.4
Hyderabad,51000,Diesel,Automatic,First,1998.0,112.0,5.0,21.94,Mini,Cooper,7,23.8
Chennai,42000,Diesel,Automatic,Second,2987.0,210.0,5.0,22.0,Mercedes-Benz,S,11,13.0
Delhi,51000,Petrol,Manual,First,998.0,67.1,5.0,2.65,Maruti,Alto,5,20.92
Kochi,42527,Petrol,Manual,First,1197.0,81.8,5.0,5.27,Maruti,Swift,3,20.4
Kolkata,45000,Diesel,Manual,First,1248.0,74.0,5.0,2.48,Chevrolet,Sail,6,22.1
Kolkata,70000,Diesel,Manual,First,2494.0,102.0,8.0,6.0,Toyota,Innova,9,12.8
Mumbai,92000,Diesel,Manual,First,2982.0,171.0,7.0,8.9,Toyota,Fortuner,11,11.5
Hyderabad,57156,Diesel,Automatic,Second,1995.0,184.0,5.0,18.0,BMW,3,8,18.88
Coimbatore,53211,Petrol,Manual,First,1395.0,138.02,5.0,11.64,Skoda,Octavia,4,16.8
Kolkata,80000,Diesel,Manual,First,2982.0,171.0,7.0,8.99,Toyota,Fortuner,1,11.5
Bangalore,74000,Diesel,Automatic,First,1896.0,105.0,5.0,5.25,Volkswagen,Jetta,11,15.5
Kolkata,37000,Diesel,Manual,First,1396.0,90.0,5.0,2.95,Hyundai,i20,9,23.0
Mumbai,64000,Diesel,Manual,Second,1248.0,88.76,5.0,2.65,Tata,Manza,7,21.02
Pune,57197,Petrol,Manual,First,1598.0,103.6,5.0,4.0,Volkswagen,Vento,7,15.04
Chennai,55000,Diesel,Automatic,First,1582.0,126.2,5.0,12.5,Hyundai,Creta,4,17.6
Mumbai,33000,Petrol,Manual,First,1197.0,85.8,5.0,3.25,Maruti,Ritz,6,21.1
Delhi,70000,Petrol,Manual,First,1997.0,141.1,5.0,4.0,Honda,CR-V,12,13.1
Delhi,75000,Diesel,Manual,Second,2179.0,140.0,7.0,6.25,Mahindra,XUV500,8,15.1
Jaipur,58095,Diesel,Manual,First,1498.0,108.62,5.0,5.8,Volkswagen,Ameo,4,21.66
Kolkata,7445,Petrol,Manual,First,1193.0,88.7,5.0,5.0,Tata,Zest,5,17.57
Kochi,17652,Diesel,Automatic,First,2993.0,,5.0,58.73,Jaguar,XJ,4,12.9
Kochi,28321,Petrol,Automatic,First,1798.0,138.03,5.0,17.49,Toyota,Corolla,2,14.28
Pune,69000,Petrol,Manual,Second,998.0,66.1,5.0,1.95,Maruti,A-Star,9,19.0
Mumbai,80000,Petrol,Automatic,First,2354.0,142.0,5.0,3.0,Honda,Accord,13,11.1
Delhi,42365,Petrol,Manual,First,1197.0,80.0,5.0,5.5,Hyundai,i20,6,17.0
Delhi,123000,Diesel,Automatic,First,2982.0,168.5,7.0,16.5,Toyota,Fortuner,7,12.55
Mumbai,40000,Petrol,Automatic,Second,1796.0,186.0,5.0,14.5,Mercedes-Benz,New,9,11.74
Hyderabad,30112,Diesel,Manual,First,1248.0,74.0,5.0,7.79,Maruti,Baleno,4,27.39
Kochi,43775,Diesel,Manual,First,1248.0,88.76,7.0,8.27,Maruti,Ertiga,3,20.77
Kochi,26013,Diesel,Automatic,First,2993.0,,5.0,97.07,Land,Rover,1,12.65
Mumbai,56000,Petrol,Manual,First,1598.0,102.5,5.0,2.15,Chevrolet,Optra,8,12.9
Hyderabad,95000,Petrol,Automatic,Second,1799.0,130.0,5.0,3.0,Honda,Civic,12,12.9
